Purchase Date,Sales
2020-05-05 00:00:00,201
2020-05-05 01:00:00,186
2020-05-05 02:00:00,101
2020-05-05 03:00:00,70
2020-05-05 04:00:00,54
2020-05-05 05:00:00,53
2020-05-05 06:00:00,55
2020-05-05 07:00:00,83
2020-05-05 08:00:00,158
2020-05-05 09:00:00,238
2020-05-05 10:00:00,303
2020-05-05 11:00:00,331
2020-05-05 12:00:00,334
2020-05-05 13:00:00,316
2020-05-05 14:00:00,381
2020-05-05 15:00:00,391
2020-05-05 16:00:00,382
2020-05-05 17:00:00,347
2020-05-05 18:00:00,293
2020-05-05 19:00:00,355
2020-05-05 20:00:00,336
2020-05-05 21:00:00,328
2020-05-05 22:00:00,338
2020-05-05 23:00:00,255
2020-05-06 00:00:00,225
2020-05-06 01:00:00,167
2020-05-06 02:00:00,131
2020-05-06 03:00:00,81
2020-05-06 04:00:00,48
2020-05-06 05:00:00,41
2020-05-06 06:00:00,59
2020-05-06 07:00:00,101
2020-05-06 08:00:00,186
2020-05-06 09:00:00,301
2020-05-06 10:00:00,334
2020-05-06 11:00:00,342
2020-05-06 12:00:00,519
2020-05-06 13:00:00,387
2020-05-06 14:00:00,466
2020-05-06 15:00:00,423
2020-05-06 16:00:00,451
2020-05-06 17:00:00,413
2020-05-06 18:00:00,376
2020-05-06 19:00:00,367
2020-05-06 20:00:00,371
2020-05-06 21:00:00,327
2020-05-06 22:00:00,310
2020-05-06 23:00:00,250
2020-05-07 00:00:00,226
2020-05-07 01:00:00,162
2020-05-07 02:00:00,117
2020-05-07 03:00:00,88
2020-05-07 04:00:00,58
2020-05-07 05:00:00,44
2020-05-07 06:00:00,54
2020-05-07 07:00:00,217
2020-05-07 08:00:00,190
2020-05-07 09:00:00,329
2020-05-07 10:00:00,325
2020-05-07 11:00:00,382
2020-05-07 12:00:00,371
2020-05-07 13:00:00,396
2020-05-07 14:00:00,420
2020-05-07 15:00:00,408
2020-05-07 16:00:00,380
2020-05-07 17:00:00,395
2020-05-07 18:00:00,334
2020-05-07 19:00:00,332
2020-05-07 20:00:00,338
2020-05-07 21:00:00,362
2020-05-07 22:00:00,335
2020-05-07 23:00:00,292
2020-05-08 00:00:00,250
2020-05-08 01:00:00,163
2020-05-08 02:00:00,203
2020-05-08 03:00:00,84
2020-05-08 04:00:00,57
2020-05-08 05:00:00,56
2020-05-08 06:00:00,71
2020-05-08 07:00:00,126
2020-05-08 08:00:00,217
2020-05-08 09:00:00,311
2020-05-08 10:00:00,361
2020-05-08 11:00:00,355
2020-05-08 12:00:00,390
2020-05-08 13:00:00,405
2020-05-08 14:00:00,418
2020-05-08 15:00:00,426
2020-05-08 16:00:00,408
2020-05-08 17:00:00,434
2020-05-08 18:00:00,372
2020-05-08 19:00:00,373
2020-05-08 20:00:00,392
2020-05-08 21:00:00,339
2020-05-08 22:00:00,329
2020-05-08 23:00:00,251
